ID,City,Country,Time,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
234,Norman Wells,CA,2020-11-05 13:28:10,65.28,-126.83,-4.0,76,75,3.36,light snow,0.0,0.0
235,Ulladulla,AU,2020-11-05 13:28:10,-35.35,150.47,54.0,87,40,14.99,scattered clouds,0.0,0.0
236,Henties Bay,NA,2020-11-05 13:28:10,-22.12,14.28,66.0,79,19,5.99,few clouds,0.0,0.0
237,Tekeli,KZ,2020-11-05 13:28:11,44.83,78.82,42.89,52,98,5.17,overcast clouds,0.0,0.0
238,Nome,US,2020-11-05 13:28:11,64.5,-165.41,30.2,86,90,39.15,snow,0.0,0.25
239,Waipawa,NZ,2020-11-05 13:28:11,-41.41,175.52,59.0,100,100,4.7,moderate rain,2.49,0.0
240,Muisne,EC,2020-11-05 13:28:11,0.6,-80.03,73.85,81,100,9.71,overcast clouds,0.0,0.0
241,Cherskiy,RU,2020-11-05 13:28:11,68.75,161.3,17.53,95,100,10.78,light snow,0.0,0.11
242,Kidal,ML,2020-11-05 13:28:12,18.44,1.41,93.69,14,43,9.04,scattered clouds,0.0,0.0
243,Alofi,NU,2020-11-05 13:28:12,-19.06,-169.92,73.4,83,10,10.29,clear sky,0.0,0.0
244,Chiapa,MX,2020-11-05 13:28:12,18.47,-96.94,56.17,85,97,1.12,overcast clouds,0.0,0.0
245,Belmonte,BR,2020-11-05 13:28:12,-15.86,-38.88,73.4,88,90,6.93,overcast clouds,0.0,0.0
246,Port Hedland,AU,2020-11-05 13:28:13,-20.32,118.57,84.2,58,1,12.75,clear sky,0.0,0.0
247,Mitú,CO,2020-11-05 13:28:13,1.2,-70.17,76.75,89,83,4.03,broken clouds,0.0,0.0
248,Constitución,CL,2020-11-05 13:28:13,-35.33,-72.42,56.89,48,0,11.7,clear sky,0.0,0.0
249,Dutlwe,BW,2020-11-05 13:28:13,-23.98,23.9,89.92,25,63,18.28,broken clouds,0.0,0.0
250,Marystown,CA,2020-11-05 13:28:13,47.17,-55.15,37.0,100,13,7.72,few clouds,0.0,0.0
251,Ilulissat,GL,2020-11-05 13:28:14,69.22,-51.1,15.8,61,40,10.29,scattered clouds,0.0,0.0
252,Mayo,US,2020-11-05 13:25:34,38.89,-76.51,55.0,87,1,8.52,clear sky,0.0,0.0
253,Asău,RO,2020-11-05 13:28:14,46.43,26.4,48.0,93,100,3.13,overcast clouds,0.0,0.0
254,Nobeoka,JP,2020-11-05 13:28:14,32.58,131.67,46.99,67,4,4.59,clear sky,0.0,0.0
255,Weihai,CN,2020-11-05 13:28:14,37.5,122.11,58.37,70,100,9.33,light rain,0.1822,0.0
256,Shintomi,JP,2020-11-05 13:28:15,32.08,131.47,55.4,87,20,9.17,few clouds,0.0,0.0
257,Igbo-Ora,NG,2020-11-05 13:28:15,7.43,3.28,93.69,46,21,3.4,few clouds,0.0,0.0
258,Abadan,TM,2020-11-05 13:28:15,38.05,58.21,68.0,15,20,4.7,few clouds,0.0,0.0
259,Itaqui,BR,2020-11-05 13:27:06,-29.13,-56.55,65.57,56,100,16.42,overcast clouds,0.0,0.0
260,Niamey,NE,2020-11-05 13:28:16,13.51,2.11,100.4,9,0,14.99,clear sky,0.0,0.0
261,Muskogee,US,2020-11-05 13:23:26,35.58,-95.33,53.6,81,1,6.93,clear sky,0.0,0.0
262,Mulegé,MX,2020-11-05 13:28:16,26.88,-111.98,72.63,44,44,5.64,scattered clouds,0.0,0.0
263,Barra Patuca,HN,2020-11-05 13:28:16,15.8,-84.28,76.24,89,100,4.7,overcast clouds,0.0,0.0
264,Russellville,US,2020-11-05 13:28:16,35.28,-93.13,45.0,93,1,2.21,clear sky,0.0,0.0
265,Chicama,PE,2020-11-05 13:28:17,-7.84,-79.15,60.8,87,90,9.17,mist,0.0,0.0
266,Mahibadhoo,MV,2020-11-05 13:28:17,3.78,72.97,83.52,72,12,6.29,few clouds,0.0,0.0
267,Mahina,PF,2020-11-05 13:28:17,-17.51,-149.49,78.8,74,75,12.75,broken clouds,0.0,0.0
268,Lang Son,VN,2020-11-05 13:27:43,21.83,106.73,70.02,78,100,1.79,overcast clouds,0.0,0.0
269,Taoudenni,ML,2020-11-05 13:28:18,22.68,-3.98,98.78,9,0,12.44,clear sky,0.0,0.0
270,Hong Kong,HK,2020-11-05 13:25:24,22.29,114.16,73.0,77,0,5.01,clear sky,0.0,0.0
271,Husavik,IS,2020-11-05 13:28:18,66.04,-17.34,51.8,62,20,29.97,few clouds,0.0,0.0
272,Itarema,BR,2020-11-05 13:28:18,-2.92,-39.92,86.68,58,36,17.07,scattered clouds,0.0,0.0
273,Kirensk,RU,2020-11-05 13:28:18,57.79,108.11,24.78,95,100,10.47,overcast clouds,0.0,0.0
274,Saskylakh,RU,2020-11-05 13:28:19,71.92,114.08,-3.84,91,100,5.3,overcast clouds,0.0,0.0
275,Øksfjord,NO,2020-11-05 13:28:19,70.24,22.35,41.0,80,40,21.92,shower rain,0.34,0.0
276,Adolfo López Mateos,MX,2020-11-05 13:28:19,28.47,-107.3,43.0,56,39,3.0,scattered clouds,0.0,0.0
277,Jinka,ET,2020-11-05 13:28:19,5.65,36.65,78.71,55,28,1.63,scattered clouds,0.0,0.0
278,Salta,AR,2020-11-05 13:26:16,-24.79,-65.41,75.2,33,0,9.17,clear sky,0.0,0.0
279,Lüderitz,NA,2020-11-05 13:28:20,-26.65,15.16,68.49,62,2,16.24,clear sky,0.0,0.0
280,Jiangyou,CN,2020-11-05 13:28:20,31.77,104.72,60.19,54,89,1.41,overcast clouds,0.0,0.0
281,Margate,GB,2020-11-05 13:28:20,51.38,1.39,53.01,70,0,1.01,clear sky,0.0,0.0
282,Bengkulu,ID,2020-11-05 13:28:20,-3.8,102.27,78.6,88,100,4.03,heavy intensity rain,7.6754,0.0
283,Dicabisagan,PH,2020-11-05 13:28:21,17.08,122.42,77.22,82,98,3.65,overcast clouds,0.0,0.0
284,Sabha,LY,2020-11-05 13:28:21,27.04,14.43,80.06,20,0,5.53,clear sky,0.0,0.0
285,Ketchikan,US,2020-11-05 13:28:21,55.34,-131.65,42.8,87,90,10.29,overcast clouds,0.0,0.0
286,Balkhash,KZ,2020-11-05 13:28:21,46.84,74.98,37.08,69,90,3.67,overcast clouds,0.0,0.0
287,Port Keats,AU,2020-11-05 13:28:21,-14.25,129.55,84.16,72,100,6.67,overcast clouds,0.0,0.0
288,Lorengau,PG,2020-11-05 13:28:22,-2.02,147.27,80.1,83,100,6.24,moderate rain,1.7854,0.0
289,Lewisporte,CA,2020-11-05 13:28:22,49.25,-55.05,30.99,79,20,10.29,few clouds,0.0,0.0
290,Airai,TL,2020-11-05 13:28:22,-8.93,125.41,64.96,74,71,1.19,broken clouds,0.0,0.0
291,Shelburne,CA,2020-11-05 13:28:22,44.08,-80.2,52.0,65,100,15.14,overcast clouds,0.0,0.0
292,Voyvozh,RU,2020-11-05 13:28:23,62.89,54.96,37.13,97,100,9.6,light rain,0.15,0.0
293,Kununurra,AU,2020-11-05 13:28:23,-15.77,128.73,84.2,58,94,6.93,overcast clouds,0.0,0.0
294,Letlhakane,BW,2020-11-05 13:28:23,-21.42,25.58,90.77,29,94,10.38,overcast clouds,0.0,0.0
295,Urengoy,RU,2020-11-05 13:28:24,65.97,78.37,-3.37,91,0,3.49,clear sky,0.0,0.0
296,Grand-Lahou,CI,2020-11-05 13:28:24,5.14,-5.02,85.19,66,98,5.21,overcast clouds,0.0,0.0
297,Muzhi,RU,2020-11-05 13:28:24,65.37,64.67,32.09,97,100,7.31,overcast clouds,0.0,0.0
298,Kabinda,CD,2020-11-05 13:28:24,-6.13,24.48,84.0,65,100,2.89,light rain,0.75,0.0
299,Mâncio Lima,BR,2020-11-05 13:28:25,-7.61,-72.9,85.73,57,100,0.76,overcast clouds,0.0,0.0
300,Brae,GB,2020-11-05 13:28:25,60.4,-1.35,51.8,100,90,33.33,overcast clouds,0.0,0.0
301,Emporia,US,2020-11-05 13:28:25,38.4,-96.18,46.4,81,1,4.7,clear sky,0.0,0.0
302,Nishihara,JP,2020-11-05 13:28:25,26.18,127.76,77.0,94,75,20.8,light rain,0.38,0.0
303,Chalisgaon,IN,2020-11-05 13:28:25,20.47,75.02,79.36,30,0,6.46,clear sky,0.0,0.0
304,Virtsu,EE,2020-11-05 13:28:25,58.57,23.51,51.01,71,100,15.01,overcast clouds,0.0,0.0
305,Buraidah,SA,2020-11-05 13:28:26,26.33,43.98,89.6,18,0,5.82,clear sky,0.0,0.0
306,San Patricio,US,2020-11-05 13:28:26,28.02,-97.52,66.2,100,40,4.7,fog,0.0,0.0
307,Mackay,AU,2020-11-05 13:28:26,-21.15,149.2,71.6,78,0,6.93,clear sky,0.1,0.0
308,Guerrero Negro,MX,2020-11-05 13:28:26,27.98,-114.06,67.35,64,61,3.65,broken clouds,0.0,0.0
309,Wadi Maliz,TN,2020-11-05 13:28:26,36.47,8.55,78.8,39,20,4.7,few clouds,0.0,0.0
310,Province of Mantua,IT,2020-11-05 13:28:27,45.17,10.78,66.0,76,1,1.01,clear sky,0.0,0.0
311,Sangar,RU,2020-11-05 13:28:27,63.92,127.47,1.27,93,100,3.33,overcast clouds,0.0,0.0
312,Mutoko,ZW,2020-11-05 13:28:27,-17.4,32.23,90.9,23,42,9.55,scattered clouds,0.0,0.0
313,Malé,MV,2020-11-05 13:25:00,4.17,73.51,86.0,74,20,5.82,few clouds,0.0,0.0
314,Bubaque,GW,2020-11-05 13:28:27,11.28,-15.83,84.09,70,1,7.85,clear sky,0.0,0.0
315,Louis Trichardt,ZA,2020-11-05 13:28:28,-23.04,29.9,78.62,58,100,4.61,light rain,0.57,0.0
316,Hanmer Springs,NZ,2020-11-05 13:28:28,-42.52,172.82,54.99,80,82,2.84,broken clouds,0.0,0.0
317,Hay River,CA,2020-11-05 13:28:28,60.82,-115.8,10.4,78,100,8.05,overcast clouds,0.0,0.0
318,Maizières-lès-Metz,FR,2020-11-05 13:28:28,49.21,6.16,52.0,76,0,1.01,clear sky,0.0,0.0
319,San Cristobal,VE,2020-11-05 13:28:28,7.77,-72.22,75.2,94,40,2.24,fog,0.0,0.0
320,Saltpond,GH,2020-11-05 13:28:29,5.21,-1.06,84.24,71,100,6.78,moderate rain,1.05,0.0
321,Vila Velha,BR,2020-11-05 13:23:37,-20.33,-40.29,78.8,69,40,4.7,scattered clouds,0.0,0.0
322,Praia da Vitória,PT,2020-11-05 13:28:29,38.73,-27.07,63.0,67,40,23.71,scattered clouds,0.0,0.0
323,Kautokeino,NO,2020-11-05 13:28:29,69.01,23.04,33.58,90,100,21.72,overcast clouds,0.0,0.0
324,Panjāb,AF,2020-11-05 13:28:29,34.39,67.02,33.82,61,0,2.46,clear sky,0.0,0.0
325,Ulaangom,MN,2020-11-05 13:28:30,49.98,92.07,23.47,92,0,1.34,clear sky,0.0,0.0
326,Pozo Colorado,PY,2020-11-05 13:28:30,-23.49,-58.8,82.09,31,0,6.31,clear sky,0.0,0.0
327,Biak,ID,2020-11-05 13:28:30,-0.91,122.88,79.25,78,2,1.68,clear sky,0.0,0.0
328,Kalangala,UG,2020-11-05 13:28:30,-0.31,32.23,80.6,61,20,9.17,few clouds,0.0,0.0
329,Havelock,US,2020-11-05 13:28:30,34.88,-76.9,64.0,84,70,4.79,broken clouds,0.0,0.0
330,Devonport,AU,2020-11-05 13:28:31,-41.17,146.35,48.0,78,0,11.34,clear sky,0.0,0.0
331,Goderich,CA,2020-11-05 13:28:31,43.75,-81.72,53.6,66,100,16.11,overcast clouds,0.0,0.0
332,Lingao,CN,2020-11-05 13:28:31,19.91,109.69,72.48,85,97,11.48,light rain,0.12620000000000003,0.0
333,Aksu,CN,2020-11-05 13:28:32,41.12,80.26,47.01,43,25,7.47,scattered clouds,0.0,0.0
334,Basoko,CD,2020-11-05 13:28:32,1.24,23.62,80.76,82,100,3.91,moderate rain,1.12,0.0
335,Tamale,GH,2020-11-05 13:26:41,9.4,-0.84,96.13,32,8,5.26,clear sky,0.0,0.0
336,Vardø,NO,2020-11-05 13:28:32,70.37,31.11,39.2,86,75,17.22,broken clouds,0.0,0.0
337,Broome,US,2020-11-05 13:28:33,42.25,-75.83,50.0,57,1,10.29,clear sky,0.0,0.0
338,Krasnosel'kup,RU,2020-11-05 13:28:33,65.7,82.47,-3.86,89,0,5.28,clear sky,0.0,0.0
339,Ambilobe,MG,2020-11-05 13:28:34,-13.2,49.05,85.55,54,32,6.71,scattered clouds,0.0,0.0
340,Geraldton,AU,2020-11-05 13:28:34,-28.77,114.6,69.8,77,0,16.11,clear sky,0.0,0.0
341,Belaya Gora,RU,2020-11-05 13:28:34,68.53,146.42,-10.7,90,100,9.35,overcast clouds,0.0,0.0
342,Tadine,NC,2020-11-05 13:28:34,-21.55,167.88,73.9,87,0,6.71,clear sky,0.0,0.0
343,Rasskazovo,RU,2020-11-05 13:28:35,52.67,41.9,46.71,76,75,6.62,broken clouds,0.0,0.0
344,Nador,MA,2020-11-05 13:25:12,35.17,-2.93,78.8,53,20,5.82,few clouds,0.0,0.0
345,Barcelos,PT,2020-11-05 13:28:35,41.54,-8.62,64.4,59,0,14.99,clear sky,0.0,0.0
346,Savinka,RU,2020-11-05 13:28:35,50.08,47.1,53.08,62,97,6.42,overcast clouds,0.0,0.0
347,Paamiut,GL,2020-11-05 13:28:35,61.99,-49.67,27.28,89,100,17.83,light snow,0.0,0.13
348,Arenápolis,BR,2020-11-05 13:28:36,-14.45,-56.85,90.32,39,31,3.38,scattered clouds,0.0,0.0
349,Sandūr,IN,2020-11-05 13:28:36,15.1,76.55,74.53,46,0,6.67,clear sky,0.0,0.0
350,Kupang,ID,2020-11-05 13:28:36,-10.17,123.58,81.86,74,62,5.48,broken clouds,0.0,0.0
351,Salalah,OM,2020-11-05 13:28:36,17.02,54.09,82.4,54,0,8.05,clear sky,0.0,0.0
352,Khorixas,NA,2020-11-05 13:28:37,-20.37,14.97,91.31,10,0,16.46,clear sky,0.0,0.0
353,Wanaka,NZ,2020-11-05 13:28:37,-44.7,169.15,55.99,76,100,2.77,light rain,0.2,0.0
354,Lompoc,US,2020-11-05 13:27:09,34.64,-120.46,51.8,87,1,5.82,clear sky,0.0,0.0
355,Heraclea,TR,2020-11-05 13:28:37,37.51,34.05,55.27,66,88,2.17,overcast clouds,0.0,0.0
356,Basco,PH,2020-11-05 13:28:37,20.45,121.97,80.78,81,100,32.46,overcast clouds,0.0,0.0
357,Colquiri,BO,2020-11-05 13:28:38,-17.42,-67.13,57.2,41,20,4.7,few clouds,0.0,0.0
358,Bridgton,US,2020-11-05 13:28:38,44.05,-70.71,39.0,97,0,1.99,clear sky,0.0,0.0
359,Bolobo,CD,2020-11-05 13:28:38,-2.17,16.23,82.04,73,99,7.85,light rain,0.93,0.0
360,Sobolevo,RU,2020-11-05 13:28:38,54.43,31.9,45.81,75,47,11.9,light rain,0.21900000000000003,0.0
361,Findlay,US,2020-11-05 13:26:37,41.04,-83.65,57.2,58,1,14.99,clear sky,0.0,0.0
362,Sarishābāri,BD,2020-11-05 13:28:39,24.73,89.83,76.44,47,0,5.77,clear sky,0.0,0.0
363,Amzya,RU,2020-11-05 13:28:39,56.24,54.39,35.4,93,92,6.96,overcast clouds,0.0,0.0
364,Korla,CN,2020-11-05 13:28:39,41.76,86.15,41.31,58,0,2.53,clear sky,0.0,0.0
365,Klyuchi,RU,2020-11-05 13:28:39,52.27,79.17,37.0,78,51,9.73,broken clouds,0.0,0.0
366,Tshela,CD,2020-11-05 13:28:40,-4.98,12.93,85.35,70,60,4.88,moderate rain,2.01,0.0
367,Ratholo,BW,2020-11-05 13:28:40,-22.72,27.57,75.06,71,100,5.39,heavy intensity rain,5.16,0.0
368,Amapá,BR,2020-11-05 13:28:40,1.0,-52.0,86.32,60,100,4.43,overcast clouds,0.0,0.0
369,Yangshan,CN,2020-11-05 13:28:40,28.76,115.03,60.1,69,96,1.54,light rain,0.133,0.0
370,Vanimo,PG,2020-11-05 13:28:40,-2.67,141.3,79.83,83,99,8.21,moderate rain,1.36,0.0
371,Puri,IN,2020-11-05 13:28:41,19.8,85.85,78.8,65,20,4.7,haze,0.0,0.0
372,Benguela,AO,2020-11-05 13:28:41,-12.58,13.41,82.4,74,20,11.41,few clouds,0.0,0.0
373,Ol'ga,RU,2020-11-05 13:28:41,43.74,135.29,36.88,79,0,6.11,clear sky,0.0,0.0
374,At-Bashi,KG,2020-11-05 13:25:57,41.17,75.81,34.07,60,40,5.7,scattered clouds,0.0,0.0
375,Aguilares,AR,2020-11-05 13:28:42,-27.43,-65.61,71.01,33,0,11.01,clear sky,0.0,0.0
376,Santiago del Estero,AR,2020-11-05 13:27:58,-27.8,-64.26,78.08,30,0,11.88,clear sky,0.0,0.0
377,Arrondissement du Havre,FR,2020-11-05 13:28:42,49.58,0.33,51.8,62,0,11.41,clear sky,0.0,0.0
378,Brezovo,BG,2020-11-05 13:28:42,42.35,25.08,60.8,44,75,4.7,broken clouds,0.0,0.0
379,Kroya,ID,2020-11-05 13:28:43,-7.63,109.25,64.0,89,100,6.42,moderate rain,1.64,0.0
380,Matara,LK,2020-11-05 13:28:43,5.95,80.54,80.04,82,60,3.02,light rain,0.26,0.0
381,Gayéri,BF,2020-11-05 13:28:43,12.65,0.49,97.39,16,100,15.48,overcast clouds,0.0,0.0
382,Touros,BR,2020-11-05 13:25:44,-5.2,-35.46,86.0,66,75,19.46,broken clouds,0.0,0.0
383,Nouadhibou,MR,2020-11-05 13:28:43,20.93,-17.03,78.8,61,31,5.82,scattered clouds,0.0,0.0
384,Neiafu,TO,2020-11-05 13:28:44,-18.65,-173.98,75.2,83,20,8.05,few clouds,0.0,0.0
385,Antalaha,MG,2020-11-05 13:28:44,-14.9,50.28,79.32,71,95,12.71,overcast clouds,0.0,0.0
386,Oranjemund,NA,2020-11-05 13:28:44,-28.55,16.43,65.43,73,93,11.01,overcast clouds,0.0,0.0
387,Severodvinsk,RU,2020-11-05 13:28:44,64.56,39.83,39.2,86,75,6.71,light rain,0.21,0.0
388,Grenville,GD,2020-11-05 13:28:45,12.12,-61.62,86.0,70,20,11.41,few clouds,0.0,0.0
389,Sibolga,ID,2020-11-05 13:28:45,1.74,98.78,79.3,76,98,3.42,heavy intensity rain,6.3102,0.0
390,College,US,2020-11-05 13:28:45,64.86,-147.8,-8.0,75,75,3.36,light snow,0.0,0.0
391,Cabo San Lucas,MX,2020-11-05 13:25:06,22.89,-109.91,69.8,60,5,9.17,clear sky,0.0,0.0
392,Vestmannaeyjar,IS,2020-11-05 13:28:45,63.44,-20.27,50.0,87,90,36.91,drizzle,0.0,0.0
393,Eureka,US,2020-11-05 13:28:46,40.8,-124.16,55.0,100,90,4.7,fog,0.0,0.0
394,Guipavas,FR,2020-11-05 13:28:46,48.44,-4.4,53.6,62,0,18.34,clear sky,0.0,0.0
395,Coari,BR,2020-11-05 13:28:46,-4.08,-63.14,80.47,84,100,3.69,moderate rain,1.18,0.0
396,Varhaug,NO,2020-11-05 13:28:46,58.61,5.65,51.01,99,100,8.01,light rain,0.67,0.0
397,Magadan,RU,2020-11-05 13:28:46,59.57,150.8,7.36,87,99,9.46,overcast clouds,0.0,0.0
398,Coyhaique,CL,2020-11-05 13:28:47,-45.58,-72.07,50.0,61,90,10.29,overcast clouds,0.0,0.0
399,Orange Cove,US,2020-11-05 13:28:47,36.62,-119.31,50.0,81,75,6.93,broken clouds,0.0,0.0
400,Clarksburg,US,2020-11-05 13:27:23,39.28,-80.34,48.2,86,1,4.09,clear sky,0.0,0.0
401,Noumea,NC,2020-11-05 13:26:57,-22.28,166.46,71.6,94,0,2.24,clear sky,0.0,0.0
402,Dongsheng,CN,2020-11-05 13:28:47,39.82,109.98,39.67,60,88,23.69,overcast clouds,0.0,0.0
403,Kunya,NG,2020-11-05 13:28:48,12.22,8.53,91.4,24,100,16.11,haze,0.0,0.0
404,Santa Rosa,PH,2020-11-05 13:28:48,14.31,121.11,82.4,78,20,4.7,few clouds,0.0,0.0
405,Bondo,CD,2020-11-05 13:28:48,3.81,23.69,89.71,48,29,5.37,scattered clouds,0.0,0.0
406,Turukhansk,RU,2020-11-05 13:28:48,65.82,87.98,-1.16,86,0,6.51,clear sky,0.0,0.0
407,Hofn,IS,2020-11-05 13:28:48,64.25,-15.21,46.4,93,90,5.82,heavy intensity rain,15.38,0.0
408,Beşikdüzü,TR,2020-11-05 13:28:48,41.05,39.23,66.2,77,75,3.36,broken clouds,0.0,0.0
409,Vestmanna,FO,2020-11-05 13:28:49,62.16,-7.17,50.0,100,100,26.4,mist,0.0,0.0
410,Mangit,UZ,2020-11-05 13:28:49,40.6,70.96,51.8,40,0,0.09,mist,0.0,0.0
411,Meulaboh,ID,2020-11-05 13:28:49,4.14,96.13,80.44,82,100,2.28,overcast clouds,0.0,0.0
412,Mount Gambier,AU,2020-11-05 13:28:49,-37.83,140.77,44.6,87,75,4.7,broken clouds,0.0,0.0
413,Puerto Escondido,MX,2020-11-05 13:28:49,15.85,-97.07,69.8,88,40,6.93,scattered clouds,0.0,0.0
414,Mildura,AU,2020-11-05 13:28:50,-34.2,142.15,57.2,44,0,8.05,clear sky,0.0,0.0
415,The Pas,CA,2020-11-05 13:28:50,53.83,-101.25,17.6,67,90,12.75,light snow,0.0,0.0
416,Çanakkale Province,TR,2020-11-05 13:28:50,40.08,26.83,60.8,63,75,11.41,broken clouds,0.0,0.0
417,Carupano,VE,2020-11-05 13:28:51,10.67,-63.26,79.99,77,49,5.73,scattered clouds,0.0,0.0
418,Port-Gentil,GA,2020-11-05 13:28:51,-0.72,8.78,87.8,62,20,10.29,few clouds,0.0,0.0
419,Mezen',RU,2020-11-05 13:28:51,65.85,44.24,38.21,88,96,7.63,overcast clouds,0.0,0.0
420,Tot'ma,RU,2020-11-05 13:28:52,59.97,42.76,41.67,83,88,9.55,overcast clouds,0.0,0.0
421,Ulaanbaatar,MN,2020-11-05 13:28:52,47.91,106.88,24.8,41,40,11.18,scattered clouds,0.0,0.0
422,Ballina,AU,2020-11-05 13:28:52,-28.87,153.57,68.0,82,75,6.93,broken clouds,0.0,0.0
423,Cabedelo,BR,2020-11-05 13:28:52,-6.98,-34.83,87.8,62,40,11.41,scattered clouds,0.0,0.0
424,Pandan,PH,2020-11-05 13:28:52,14.05,124.17,79.07,80,100,4.05,moderate rain,1.6484,0.0
425,Jizan,SA,2020-11-05 13:28:53,17.33,42.67,89.6,62,20,14.99,few clouds,0.0,0.0
426,Shingū,JP,2020-11-05 13:28:53,33.73,135.98,52.29,73,0,5.35,clear sky,0.0,0.0
427,Bikramganj,IN,2020-11-05 13:28:53,25.2,84.25,70.45,39,0,2.1,clear sky,0.0,0.0
428,Dombarovskiy,RU,2020-11-05 13:28:53,50.76,59.54,50.72,55,100,8.19,overcast clouds,0.0,0.0
429,Oksovskiy,RU,2020-11-05 13:28:53,62.61,39.9,41.52,77,100,10.36,overcast clouds,0.0,0.0
430,Mogadishu,SO,2020-11-05 13:26:30,2.04,45.34,84.2,66,75,10.29,broken clouds,0.0,0.0
431,Moberly,US,2020-11-05 13:28:54,39.42,-92.44,53.01,70,6,1.01,clear sky,0.0,0.0
432,Marabu,MY,2020-11-05 13:28:54,4.41,114.01,78.01,94,40,2.24,light rain,0.39,0.0
433,Hasaki,JP,2020-11-05 13:28:54,35.73,140.83,46.4,100,20,1.12,few clouds,0.0,0.0
434,Vila Franca do Campo,PT,2020-11-05 13:28:55,37.72,-25.43,64.99,67,40,14.99,shower rain,0.0,0.0
435,Chambishi,ZM,2020-11-05 13:28:55,-12.63,28.05,94.73,16,0,3.65,clear sky,0.0,0.0
436,Madang,PG,2020-11-05 13:28:55,-5.22,145.8,77.14,87,100,3.42,heavy intensity rain,6.489000000000001,0.0
437,Juneau,US,2020-11-05 13:28:55,58.3,-134.42,28.4,68,75,6.93,broken clouds,0.0,0.0
438,Havre-St-Pierre,CA,2020-11-05 13:28:55,50.23,-63.6,32.0,97,90,8.05,overcast clouds,0.0,0.0
439,Long Xuyen,VN,2020-11-05 13:28:56,10.38,105.42,80.6,94,20,1.12,few clouds,0.0,0.0
440,Pontes e Lacerda,BR,2020-11-05 13:24:07,-15.23,-59.34,91.94,22,24,4.52,few clouds,0.0,0.0
441,Muyezerskiy,RU,2020-11-05 13:28:56,63.93,31.65,39.33,90,100,17.05,moderate rain,1.3,0.0
442,Lárdos,GR,2020-11-05 13:28:56,36.09,28.02,71.6,56,20,16.11,few clouds,0.0,0.0
443,Robertsport,LR,2020-11-05 13:28:56,6.75,-11.37,82.29,71,4,6.22,clear sky,0.0,0.0
444,Pinega,RU,2020-11-05 13:28:57,64.7,43.39,39.34,78,100,8.77,light rain,0.14980000000000004,0.0
445,Yumen,CN,2020-11-05 13:28:57,40.28,97.2,36.01,65,0,18.61,clear sky,0.0,0.0
446,Deputatsky,RU,2020-11-05 13:28:57,69.3,139.9,-15.68,77,29,0.92,scattered clouds,0.0,0.0
447,Klaksvík,FO,2020-11-05 13:28:57,62.23,-6.59,50.0,100,100,26.4,mist,0.0,0.0
448,Departamento de Maldonado,UY,2020-11-05 13:28:58,-34.67,-54.92,68.0,68,75,10.29,broken clouds,0.0,0.0
449,Berlevåg,NO,2020-11-05 13:28:58,70.86,29.09,35.6,86,40,11.41,scattered clouds,0.0,0.0
450,Saint-Augustin,CA,2020-11-05 13:28:58,51.23,-58.65,27.07,80,100,7.72,overcast clouds,0.0,0.0
451,Port-Cartier,CA,2020-11-05 13:28:58,50.03,-66.87,32.0,89,100,4.7,overcast clouds,0.0,0.0
452,Ambanja,MG,2020-11-05 13:28:59,-13.68,48.45,87.8,58,20,6.93,few clouds,0.0,0.0
453,Padang,ID,2020-11-05 13:28:59,-0.95,100.35,79.68,77,100,1.39,moderate rain,3.3686,0.0
454,Saldanha,ZA,2020-11-05 13:28:59,-33.01,17.94,71.6,85,75,17.22,broken clouds,0.0,0.0
455,Ayan,RU,2020-11-05 13:28:59,56.45,138.17,20.84,84,0,17.83,clear sky,0.0,0.0
456,Calmeca,MX,2020-11-05 13:28:59,18.63,-98.63,51.82,59,99,3.27,overcast clouds,0.0,0.0
457,Oga,IT,2020-11-05 13:29:00,46.46,10.35,63.0,61,0,2.24,clear sky,0.0,0.0
458,Pogar,RU,2020-11-05 13:29:00,52.55,33.26,46.71,82,78,8.77,broken clouds,0.0,0.0
459,Fayaoué,NC,2020-11-05 13:29:00,-20.65,166.53,76.73,83,0,6.4,clear sky,0.0,0.0
460,Ixtapa,MX,2020-11-05 13:29:01,20.7,-105.2,71.01,88,75,3.29,broken clouds,0.0,0.0
461,Rome,US,2020-11-05 13:26:05,43.21,-75.46,50.0,57,1,8.05,clear sky,0.0,0.0
462,Tottori-shi,JP,2020-11-05 13:29:01,35.5,134.23,50.0,81,75,6.93,broken clouds,0.0,0.0
463,Key Largo,US,2020-11-05 13:29:01,25.09,-80.45,79.0,1,94,8.99,light rain,0.55,0.0
464,San Quintín,MX,2020-11-05 13:29:02,30.48,-115.95,65.71,63,100,2.1,overcast clouds,0.0,0.0
465,Port Hardy,CA,2020-11-05 13:29:02,50.7,-127.42,48.2,81,75,6.93,light intensity shower rain,0.0,0.0
466,Sola,VU,2020-11-05 13:29:02,-13.88,167.55,78.8,94,40,12.35,scattered clouds,0.0,0.0
467,Saint-François,FR,2020-11-05 13:29:02,46.42,3.91,54.0,66,90,5.82,overcast clouds,0.0,0.0
468,Skerries,IE,2020-11-05 13:29:02,53.58,-6.11,51.01,87,75,4.7,broken clouds,0.0,0.0
469,Opuwo,NA,2020-11-05 13:29:03,-18.06,13.84,94.3,10,3,20.92,clear sky,0.0,0.0
470,Wanning,CN,2020-11-05 13:29:03,18.8,110.4,74.17,92,100,12.88,heavy intensity rain,4.11,0.0
